Name,Comment,Time,Likes,Reply Count
Ruman Md Hasan,"Just finished the entire video....💪
Good luck to you all who are planning to do the same! It's a great tutorial",2021-08-10T14:17:56Z,0,0
GOPAL G,"Is popsql free?
I ended up with 14 days free trail",2021-08-10T09:48:02Z,0,0
ankit katyal,God Level !!!,2021-08-10T09:22:37Z,0,0
Coding with Kamal,"1:00 hour passed and it's all about theory and building the basic idea of SQL,, good job",2021-08-09T21:33:46Z,1,0
Nishant Kharel,"ontents ⭐
⌨️ (0:00) Introduction
⌨️ (2:36) What is a Database?
⌨️ (23:10) Tables & Keys
⌨️ (43:31) SQL Basics
⌨️ (52:26) MySQL Windows Installation
⌨️ (1:01:59) MySQL Mac Installation
⌨️ (1:15:49) Creating Tables
⌨️ (1:31:05) Inserting Data
⌨️ (1:38:17) Constraints 
⌨️ (1:48:11) Update & Delete
⌨️ (1:56:11) Basic Queries
⌨️ (2:08:37) Company Database Intro
⌨️ (2:14:05) Creating Company Database
⌨️ (2:30:27 ) More Basic Queries
⌨️ (2:26:24) Functions
⌨️ (2:45:13) Wildcards
⌨️ (2:53:53) Union
⌨️ (3:01:36) Joins
⌨️ (3:11:49) Nested Queries
⌨️ (3:21:52) On Delete
⌨️ (3:30:05) Triggers
⌨️ (3:42:12) ER Diagrams Intro
⌨️ (3:55:53) Designing an ER Diagram
⌨️ (4:08:34) Converting ER Diagrams to Schem",2021-08-09T12:11:37Z,0,0
bunmi,Pls guy! I need to know more about BIT ?,2021-08-09T09:15:42Z,0,0
Tahsin Anwar,I didn't get the screen where I have to connect to mysql.,2021-08-09T00:26:18Z,1,0
Kyle Hendricks,"It's now 2021 and my current job requires me to use SQL Server Management Studio pretty regularly.  This video, even though it's a few years old already, has been very helpful to me.  Thanks!",2021-08-08T23:26:51Z,0,0
L Earn,hey i know it has been over 2 years since this video has been posted but is pop sql. still free i can't seem to download it?,2021-08-08T22:20:41Z,0,0
Mert Durular,This guy is an actual king,2021-08-08T20:14:17Z,0,0
Robert Balian,If I have never used SQL is this a good video to start watching?,2021-08-08T17:32:44Z,0,0
NK,47:31 <- My current progress.,2021-08-08T17:20:51Z,0,0
Nikh,3:04:00,2021-08-08T16:39:04Z,0,0
김길환,1:17:39,2021-08-08T08:09:52Z,0,0
p1 p2p3p4,"This is exactly what I need right now, thanks mate !!!",2021-08-07T14:49:44Z,0,0
Kevin Cooper,Practical SQL Book PDF : https://www.lunaticai.com/2020/10/practical-sql-nostarch-pdf.html,2021-08-07T10:06:05Z,0,0
don't mind me just ramdom commentator,can i use mysql workbench as the text editor please help,2021-08-07T09:43:38Z,0,0
md noor solaiman siam,"We don't need TikTok ads atleast in these kind of Videos. Cmon youtube, grow up.",2021-08-07T04:19:48Z,0,0
Rebecca c,1:31:00,2021-08-07T02:51:28Z,0,0
American Humor Sucks,"Such a cr@ppy course, full of ee and aa.",2021-08-06T22:44:29Z,0,0
Sep Joadat,wheres the whole code for the company database? i dont see it on the description,2021-08-06T15:04:35Z,0,0
Mwana wa Ingo,The best tutorial on YouTube,2021-08-06T11:10:18Z,0,0
Michael Waltenberger,Thanks,2021-08-06T08:04:42Z,0,0
John Wild,man this dude is my new God...,2021-08-06T06:45:36Z,0,0
Harshal P. Sonawane,Thank You Sir :-),2021-08-06T04:59:23Z,0,0
Harol Sastoque,"This is the best way to improve my english and learn SQL.
Thanks  by the course and speak an english so easy to understand.",2021-08-06T02:38:04Z,0,0
Keep Hustling,"3.19.42...we can also nest one more query just to find the employee/manager id of Michael Scott, by assuming that we do not know his employee id and there are thousands of records?",2021-08-05T16:34:38Z,0,0
Abdennour Habchi,2:51:12 is  not birth_date the right  is birth_day  ❤,2021-08-05T15:27:13Z,2,0
Ticky Tocky,"In triggers after I give select* from trigger_test;


Why do I get the name of the employee printed thrice

Like

Helena
Helena
Helena
Added female employee.

Can anyone sort this problem?",2021-08-05T13:33:00Z,0,0
ASHWITHA U,"Thank you sir 🙏🙏..
Cannot ask for better explaination !!!! ;);)",2021-08-05T10:02:14Z,0,0
Keshav Sharma,Where is the PDF???,2021-08-05T04:30:55Z,0,0
Keep Hustling,2.42.36...things should have been more clearly created by creator of this language. things make no logical sense! no way but to byheart,2021-08-04T23:42:00Z,0,0
GOLD,59:00.,2021-08-04T16:31:27Z,0,0
alpha man,How can you earn money from this?,2021-08-04T16:01:07Z,0,1
Bacano,"Well, you can work as a backend programmer, or administer the database of a company, something along these line",2021-08-05T20:34:54Z,0,
sylvio cavalcanti,"Extremely well explained, so much details put into this course.",2021-08-04T14:34:02Z,37,1
Vengal Rao,Is full course covered ? ...❤️ In now in middle !,2021-08-05T18:59:41Z,0,
stories shubham,"After second hour is completed in this tutorial, every 10 minutes takes more than 1 hour to get properly understood. 😌",2021-08-04T14:03:21Z,0,0
rockstar rocky,"Bro we have joins and nested queries.. 
Joins: we can connect manager id with employeee names 
Nested quesries: we can connect sales more than 30000 with employee id with names 
But we can also do with the help of joins then what is the perfect exaination of nested queries",2021-08-04T09:27:15Z,0,0
Amrita_1328 Kaur,"Blessed to get this
Thank u",2021-08-04T07:31:48Z,0,0
Eswar Kundan,neatly explained and organized. great work,2021-08-04T07:14:01Z,0,0
sf95super,"Good tutorial but missing the Stored procedure, the view and the method for make backup on database.",2021-08-04T01:51:28Z,0,0
Nikh,1:48:12,2021-08-03T17:53:36Z,0,0
Falgun,"am i the only one who can see ""the office"" references when  he shows the table and keys xDDD",2021-08-03T16:37:18Z,0,0
Ashutosh Gupta,"while updating , im receiving the error"" Unknown column in 'where clause' 
what is the solution for this problem.",2021-08-03T16:04:31Z,0,0
derin zengin,What is difference between mysql and sql?,2021-08-03T12:49:36Z,0,1
REYCOLAS,Mysql is a database management system and we use sql to send queries to it,2021-08-04T22:38:40Z,0,
Pranav Nagar,1:48:00,2021-08-03T11:13:59Z,0,0
Hamza Sehouli,Uichroma,2021-08-02T19:07:28Z,0,0
Pawan Reddipalli,Michael Scott's tots !!!!,2021-08-02T09:43:51Z,1,0
Anthony Ndubuaku,"Anyone having issues with running queries on POPSQL?

""You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2""",2021-08-02T08:11:23Z,1,0
Satvik Shukla,Amazing 👍,2021-08-02T03:59:58Z,0,0
rockstar rocky,Bro i have a doubt at 2:39:34 because u give condition as birth date > 1971 and output is 2 but actually 4 people are there in employee table right🤔,2021-08-02T03:47:21Z,0,1
Justin Levy,that's correct for MALE and FEMALE.,2021-08-15T14:58:14Z,0,
Benjamin,"echo 'export PATH=/usr/local/mysql/bin:$PATH' >> ~/.bash_profile
. ~/.bash_profile",2021-08-01T22:44:58Z,1,0
Isaías Rubio,"I´m Spanish and you´re helping me to practise English as well as learning about SQL, because of your good pronunciation. Thank you.",2021-08-01T20:13:42Z,5,0
farman sarwar,anyone have a project of oop  on c++  where every topics is used in project,2021-08-01T18:59:01Z,0,0
Raghav Kaushik,Super awesome for beginners.,2021-08-01T18:06:26Z,0,0
Bhavya Soni,"3:35:36 if we change the delimiter then how can we terminate this query (INSERT INTO trigger_test VALUES(""  "");) with a ' ; ' ?",2021-08-01T17:38:19Z,0,0
Asish Nayak,"Where's the company database pdf?
Can you please add it to the description.",2021-08-01T12:01:22Z,0,1
Marc,https://www.mikedane.com/databases/sql/company-database.pdf,2021-08-02T09:46:07Z,0,
Ridha Alshamari,"Paid $500 to springboard (5500 to come), $90 to coursera, listened to 16 hours of videos at datacamp. and nothing really made me understand sql like you did. Thank you Mike, THANKS a lot.",2021-08-01T07:06:36Z,0,0
Bharath Subu,that's what she said,2021-08-01T06:11:53Z,0,0
Aminder Khungura,Thanks!,2021-08-01T05:50:25Z,0,0
Robert Wideł,cool,2021-08-01T00:28:07Z,0,0
noka,Comeon... where is Creed? Already made a cup out of his skull?,2021-07-31T15:48:43Z,0,0
Sourav Agarwal,i am here only for michael scott xD,2021-07-31T07:39:46Z,0,0
ObixCrazy427,"if this guy lands me this job i will be forever in debt to him, ill even write him a letter",2021-07-30T19:13:15Z,0,0
Khushi Agarwal,Grateful for this video!,2021-07-30T16:47:58Z,0,0
Onyinye Obijiofor,"This guy is a true God sent. I can't overemphasize how much I loved this course, especially the triggers and ER diagrams. Thank you so so much Mike Dane!",2021-07-30T15:34:26Z,21,2
Suhaib M T,@Anthony Ndubuaku same to me,2021-08-03T15:58:22Z,0,
Anthony Ndubuaku,Hello - how were you able to run the queries on POPSQL? i keep getting error messages. maybe because the version used in the video is not available anymore?,2021-08-02T08:10:31Z,0,
Akshita Gupta,PopSQL is no longer free. What should I go instead?,2021-07-30T13:12:43Z,0,0
Виктор,"In the 'trigger' chapter it will be useful to give an example how to prevent, for example, inserting record when inserting data aren't applied to some conditions. If such prevention can be done using triggers.",2021-07-30T09:27:18Z,0,1
ADMIN,"Thanks for Watching, I have something real big I'd love to introduce you to.....T.E.X.T...M.E / W•H•A•T•S•A•P•P....+• 1•6•1•7•7•4•9•1•5•8•7🔥❤️",2021-07-30T12:05:06Z,0,
Digwijoy Mandal,"at 32 min, just by putting The Office data, you got my attention. ;-) . On a serious note, great  basic tutorial. Thanks!",2021-07-30T09:16:55Z,0,0
Marcos Cohen,"1,700 dislikes LOL a lot of paid courses people mad",2021-07-30T03:17:38Z,0,0
Pedrooko,Thanks!,2021-07-30T01:36:24Z,1,0
Basil Sami,Thanks for a great tutorial. You explained it so well that everything seem easy.,2021-07-29T23:11:55Z,0,0
Solomon Shigute,I am 12 and it is good,2021-07-29T20:04:37Z,0,2
ADMIN,"Thanks for Watching, I have something real big I'd love to introduce you to.....T.E.X.T...M.E / W•H•A•T•S•A•P•P....+• 1•6•1•7•7•4•9•1•5•8•7🔥❤️",2021-07-30T12:05:38Z,0,
REYCOLAS,why do you state your age,2021-07-29T22:36:21Z,0,
Tezi Tube,Very helpful video,2021-07-29T19:34:16Z,0,0
Jatin Chauhan,where is the code which he is saying that he will provide..... 2:18:00,2021-07-29T17:22:34Z,0,0
LFD ALEX,.,2021-07-29T17:20:32Z,0,0
4M subscriber,"Password hacked,How to hacked password,Password ko kaise hacked keya jata hai,Hacked,password ko kaise check kare,how to forgot gmail password,Real hacking,Top hacker,Hacking movie,Hacking song t4u,Hacking rutorial,Full hacking course,Ethical hacking,Cyber security,Black hat hacker,How to hack,Phone ko hack kaise kare,Watsapp hack kaise kare,Watsapp hacked,Kali linux,How to become a hacker,Hacker kaise bane,Top hacking gagets,Hacking device",2021-07-29T12:54:39Z,0,0
Trần Phú Nguyễn,What a wonderful course! I'm laying the groundwork to change my career to become Data Engineer. This course is really clear and makes it easier to get all the helpful knowledge for myself. Thank you so much.,2021-07-29T10:50:21Z,0,0
Aidyn Kadyr,"When creating Corporate branch, why not to Insert values for Corporate branch first, and then values for employees of the Corporate branch one by one? Instead you have an extra step of updating employee branch_id:
INSERT INTO branch VALUES(1, 'Corporate', 100, '2006-02-09');
INSERT INTO employee VALUES(100, 'David', 'Wallace', '1967-11-17', 'M', 250000, NULL, 1);
INSERT INTO employee VALUES(101, 'Jan', 'Levinson', '1961-05-11', 'F', 110000, 100, 1);

Thanks.",2021-07-29T08:12:04Z,0,0
StarLight,Are there any other good resources that I can use to learn more about sql ?,2021-07-28T22:40:17Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:27:44Z,0,
Bhoumik Parmar,Can we get certificates through the courses of freeCodeCamp?,2021-07-28T20:32:51Z,0,0
Linlin Li,"this a very good video, thank you!!!",2021-07-28T19:53:14Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:28:54Z,0,
Arminium,Why giraffe?,2021-07-28T14:04:59Z,0,0
Alok Tiwari,very much helpful....,2021-07-28T09:37:40Z,0,0
Nithin D Souza,"if you want to recall Mysql then this is best video u ll ever find on yt.
If you are new to Mysql then its kind of fast for u.

I just came here to recall , Good bless you .",2021-07-28T06:16:58Z,0,0
Navya Srinivasan,Will he covered all the concepts in Sql ?  anything will be there to study other than this?,2021-07-28T03:58:10Z,0,0
Quang Nguyễn,How can you save it in a file? Can't find save anywhere. HELPPP!,2021-07-28T01:18:56Z,0,0
Mustafa Ahmad,"L.E.G.E.N.D.

However, I can't seem to receive a password when I install MySQL. Also, when I try opening the icon (dolphin), system preferences won't open it. Please help!!",2021-07-27T18:44:57Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:29:31Z,0,
Ricardo Sierra,2021 and this still gold! Thanks so much for making such a tutorial!,2021-07-27T17:59:54Z,0,0
afsa mukasa,Absolute best Godly godliness beast mode!!! This is hands down the very best - entire degree course - I have ever seen not just on Youtube but in my entire life! Wow. Thank you for teaching so many who are passionate but sadly cannot afford. This is global sustainability at its best. Kudos. Thank you.,2021-07-27T15:38:26Z,1,1
Shravan Srinivasan,I agree 100%.,2021-07-27T16:37:30Z,1,
Hansika Sachdeva,I don't understand that why we are using popsql and before that we have downloaded MYsql then why we can not use it also.,2021-07-27T14:56:57Z,0,0
Jimmy Hopkins,"Kuliah 1 semester dalam 4 jam, kena banget ilmunya coy mantap",2021-07-27T13:27:15Z,2,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:37:52Z,1,
Shravan Srinivasan,Saya setuju.,2021-07-27T16:37:47Z,1,
Sanket Adsul,"Thanks a lot, mike. Really a good done by you.",2021-07-27T12:55:16Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:38:11Z,1,
Shravan Srinivasan,I agree with you.,2021-07-27T16:38:06Z,1,
Jason Folding,"I cannot thank you enough for making this video, I have never seen databases explained so elegantly and I learned a lot.",2021-07-27T12:22:44Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:38:30Z,1,
Shravan Srinivasan,He is the best.,2021-07-27T16:38:24Z,1,
Ryker!!!,"my laptop support 64bit but the app is only showing 32bit, what do i do?",2021-07-27T11:51:44Z,0,0
Saarth Vikram Jhaveri,so apt ! Thanks dane,2021-07-27T08:50:56Z,0,0
SANAPALA LAKSHMIPATHI,Thanks,2021-07-27T07:05:29Z,1,0
Bratva Gaming,Can someone tell me what is happening at 2:27.Like I understood we have to insert data in order but he uses update only once for each branch and than directly enter all the remaining values of that branch.Shouldn’t it be entered every time.,2021-07-26T22:20:45Z,1,0
yash raut,"Thanks for this wonderful course.
Before starting, it felt like I will be bored to listen about Databases for 4 hours but I didn't,
Thanks to the amazing teaching methodology by the instructor.",2021-07-26T16:43:17Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:39:01Z,0,
Shravan Srinivasan,I agree with you here.,2021-07-27T16:38:55Z,1,
Asit Sharma,Whenever I want to refresh my SQL skils. I go ahead and watch this video. Thank you for this. Much love.,2021-07-26T10:15:17Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:39:27Z,1,
Shravan Srinivasan,Definitely agreed to this,2021-07-27T16:39:22Z,1,
FunnyJuan 3.0,1:28:00,2021-07-26T07:28:27Z,1,0
Dibyendu Das,"Okay so, I was getting this error:
Cannot add or update a child row: a foreign key constraint fails (`giraffe`.`employee`, CONSTRAINT `employee_ibfk_1` FOREIGN KEY (`branch_id`) REFERENCES `branch` (`branch_id`) ON DELETE SET NULL)

when I tried Line 10 on 2:27:32 i.e.,
INSERT INTO employee VALUES(101,'Jan','Levinson','1961-05-11','F',110000,100,1);

So I tried inserting NULL VALUES and then updating them i.e.,
INSERT INTO employee VALUES(101,'Jan','Levinson','1961-05-11','F',110000,NULL,NULL);
UPDATE employee SET branch_id=1 WHERE emp_id=101;
UPDATE employee SET super_id=100 WHERE emp_id=101;

And this worked. Can anybody help me with why I was getting that error, I had followed all the steps so far. My problem has been resolved but, I just wanted to know, why it was working for him and not for me",2021-07-26T04:01:10Z,0,0
wagging  Tale,Thank you for this tutorial. It's great to understand SQL. I saw it for my interview and thanks a tons that i cracked the interview in Infosys. Thank you so much.,2021-07-25T19:48:31Z,11,1
Abhi Ram,What's your salary man?,2021-10-02T03:26:42Z,1,
toncantsu,im literally playing this at 1.75x speed and i can still understand everything!,2021-07-25T18:03:18Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:39:52Z,1,
Shravan Srinivasan,Agreed 100%.,2021-07-27T16:39:47Z,1,
Swatirohit Vyas,Very helpful,2021-07-25T17:55:06Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:40:09Z,1,
Shravan Srinivasan,I agree.,2021-07-27T16:40:05Z,1,
Rashmi Hegde,"The password he is talking about in 1:05:51 is not being displaying,",2021-07-25T14:09:35Z,0,0
Taki Tachibana,"hi, I learned about ER diagrams. Do I also have to learn UML diagrams for a backend developer?",2021-07-25T13:36:21Z,0,0
Sumptring Dia,"your course was really helpfull for me, I will allways be thankfull to you !",2021-07-25T03:01:12Z,0,0
Manohar Gaunekar,The 1.7 k dislikes are by those who wanna make education unaccessible to everyone....,2021-07-24T21:51:17Z,1,0
Obamaalterego,"Guys, since I'm having a problem with the Popsql, can I just SQL workbench instead of the Popsql?",2021-07-24T05:59:04Z,0,0
Tia Julian,Thanks,2021-07-23T22:42:44Z,1,0
alina gohar,Can anyone plz  tell me what kind of questions they ask in interview?,2021-07-23T19:11:27Z,1,0
Shariful Asif,"I am having below error while running first table. Please advise.

You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 5",2021-07-23T18:16:42Z,0,0
Prakash singh,"To thanks you , I simply watched  all incoming ads of  this video without skipping so that you  can make good  money.😉💰",2021-07-23T17:08:46Z,1,0
D K,Help please what is that creat database girrafe?? Which name we should enter😢😢😢😢 58:40,2021-07-23T16:48:15Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:30:15Z,0,
Jatin Chauhan,Is it useful for finance students... i have done mba finance,2021-07-23T16:29:56Z,1,0
Роман Бутаков,"I'm sure that I am not the first one to mention it, but you have a typo in your script: birth_day instead of birth_date in your videos",2021-07-23T10:22:51Z,0,0
Deepansh Makkar,29:30 He's talking about Dunder Mifflin Paper Inc. 😂,2021-07-23T08:52:46Z,7,0
Schrodinger Cat,why isn't that company database code link opening,2021-07-23T07:39:58Z,0,0
Yash Tripathi,00:00:01,2021-07-23T05:19:47Z,1,0
Frédéric Gadoury,"Normal people: “We are nothing more than numbers for the system”

Programmers: “Yeah but unlike your name, your number is UNIQUE”",2021-07-22T21:29:43Z,8,1
Ryker!!!,"my laptop support 64bit but the app is only showing 32bit, what do i do?",2021-07-27T12:53:31Z,0,
Jared Kinsey,"My line 6 on the first table doesn't work. It says there is a syntax error with my "");"" even though I have everything typed out verbatim.",2021-07-22T20:26:28Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:30:41Z,0,
Jared Kinsey,"I was really appreciative to find this video, even more so after The Office reference.",2021-07-22T16:59:36Z,0,0
Akash Pandey,i loved how he used The Office reference for the example,2021-07-22T11:13:25Z,0,0
Alice Katiyar,Has anyone used sql 8.0 version and face issues while running commands in the sql line command?,2021-07-22T10:24:20Z,0,0
pratik Raut,"I am unable to run pop sql, getting problem in host how do i know my host please anybody help",2021-07-22T08:05:54Z,0,0
Debdutta Bhattacharya,"popsql is paid app, can't we use any other app?",2021-07-21T20:44:25Z,0,0
veganwazabi,Guys just install mysql workbench(free)for those who are facing issues with popsql.,2021-07-21T19:03:03Z,0,0
Bruno Stephen,what software do you use to record your videos?,2021-07-21T17:13:37Z,0,1
ADMIN,"Thanks for Watching my Videos 
For more information
*+ 1 6 1 7 7 4 9 1 5 8 7* 
*W*H*A*T*S*A*P*P* =++",2021-07-30T12:31:26Z,0,
C C,Thanks,2021-07-21T13:58:38Z,1,2
Shravan Srinivasan,https://youtu.be/a6n1IiZWWqY,2021-07-27T16:41:28Z,1,
Shravan Srinivasan,Agreed.,2021-07-27T16:41:22Z,1,
Sam Samyuktha,Absolutely a Great class . Thank you so much MIKE .,2021-07-21T09:48:40Z,0,0
Shadrack Okoe Prince Adjequaye,"I have these error in running the code, i need help
could not connect to server: Connection refused Is the server running on host ""localhost"" (127.0.0.1) and accepting TCP/IP connections on port 3306? could not connect to server: Cannot assign requested address Is the server running on host ""localhost"" (::1) and accepting TCP/IP connections on port 3306?

CREATE TABLE students(
    student_id INT PRIMARY KEY,
    name_of_students VARCHAR(30),
    major VARCHAR(20),
);",2021-07-21T08:39:43Z,0,0
Kaushal Bodapati,"am getting this error when am running popsql  for the first time . Sorry, we were unable to reach the PopSQL server. plz help!",2021-07-21T06:51:56Z,0,0
Sahil Naik,"sir i am getting a error 
Can't connect to local MySQL server through socket '/run/mysqld/mysqld.sock'
HOW to get rid of this",2021-07-21T04:33:23Z,1,0
Ksri Sumit,Awesome Content. Thanks for teaching. I learned alot.,2021-07-20T17:01:30Z,0,0
Ashik Meher Mobin,2.31,2021-07-20T16:27:42Z,0,0
Bhavesh Parab,Thank You ❤️🙏😇,2021-07-20T14:38:24Z,0,0
Rebecca Pittiglio,My friends don’t need a database because I only have like 3,2021-07-19T22:50:23Z,0,1
angrkil157 error,"Hi, i creating the little DS server for beginning developers, there two languages, but don't worry they know English, if you want, that our server, more community, https://discord.gg/nYdm7zutXj
You can call me voice, googluck plus plus cutie :)",2021-07-20T13:26:50Z,0,
Ruslan Mukhamadiarov,The guy has a talent in explaining new information in a very accessible way. Thank you very much for all this effort! Really appreciate it!,2021-07-19T13:43:58Z,0,0
Ahmet Kamberli,"Hello. I am going to create a new project. I have already created my Business plan. My Market Research and Testings are ready. I am preparing my team at the moment. I want to know can you work with us? If it is interesting for you, I can write everything about the project.",2021-07-19T13:25:31Z,0,1
angrkil157 error,"Hi, i creating the little DS server for beginning developers, there two languages, but don't worry they know English, if you want, that our server, more community, https://discord.gg/nYdm7zutXj
You can call me voice, googluck plus plus cutie :)",2021-07-20T13:27:12Z,0,
Dr hikari,"is 2021 now, i'm learning with that course but some commands isnt working, i guess the sql maybe have change some commmands, maybe i'm using a new version of sql, i am not sure about that(im brazilian because that my english is very bad)",2021-07-19T12:54:23Z,0,1
angrkil157 error,"Hi, i creating the little DS server for beginning developers, there two languages, but don't worry they know English, if you want, that our server, more community, https://discord.gg/nYdm7zutXj
You can call me voice, googluck plus plus cutie :)",2021-07-20T13:27:23Z,0,
Surya Devi,What's the database design tool?,2021-07-19T05:55:24Z,0,1
angrkil157 error,"Hi, i creating the little DS server for beginning developers, there two languages, but don't worry they know English, if you want, that our server, more community, https://discord.gg/nYdm7zutXj
You can call me voice, googluck plus plus cutie :)",2021-07-20T13:27:34Z,0,
Sumit Sardar,"Hey man,  you explain SQL very well and effectively. I really appreciate your efforts and thanks a lot for this wonderful lesson.",2021-07-18T07:59:40Z,13,0
Arijit Malakar,can't download popsql,2021-07-18T07:23:53Z,0,2
angrkil157 error,"Hi, i creating the little DS server for beginning developers, there two languages, but don't worry they know English, if you want, that our server, more community, https://discord.gg/nYdm7zutXj
You can call me voice, googluck plus cutie :)",2021-07-20T13:28:13Z,0,
Pootai Tabmanee,"me too, for right now",2021-07-18T11:46:36Z,1,
KEN CROKER,"I watched and coded along to the entire course and it was 100% worth the time investment! I knew nothing about SQL going into this course, but now after completing it I feel comfortable writing my own SQL queries and designing databases for data science projects. Thank you so much to Mike and the FreeCodeCamp staff for putting this content out for free, I really appreciate it!",2021-07-17T23:05:08Z,0,0
thsths,"There's a typo in the timestamp from the description, Functions section should be 2:36:24",2021-07-17T21:20:23Z,0,0
RAHUL JOSEPH,Who else thinks that this guy looks like Mazepin from F1 😂,2021-07-17T19:32:59Z,0,0
Satyam Chaudhary,"!ERROR WHEN I RUN THIS QUERIES INSERT INTO branch1 VALUES(2, 'Scranton', 102, '1992-04-06');
Cannot add or update a child row: a foreign key constraint fails (`satyam`.`branch1`, CONSTRAINT `branch1_ibfk_1` FOREIGN KEY (`mgr_id`) REFERENCES `employee` (`emp_id`) ON DELETE SET NULL)",2021-07-17T18:44:58Z,0,0
Ankit Kumar Verma,love you bro...,2021-07-17T16:25:53Z,0,0
sy ,"Hi Mike! I tried to copy yours (58:11), but the result is SyntaxError: Unexpected identifier. Can you help me with this, please?

And why there's written JS next to MySQL? What does it mean?",2021-07-17T13:44:03Z,0,0
mayur N d,Simply he is god,2021-07-16T16:07:35Z,0,0
FRANKWHITE1996,Such a great content!!! Thanks!!!,2021-07-16T10:33:37Z,0,0
Isaac W. Willie,You are one of my best Mike. keep helping the World,2021-07-16T08:18:11Z,0,0
Calcuquack,"Mike is obsessed with grades and honor rolls for some reason, most likely due to his intelligence.",2021-07-15T23:09:55Z,1,0
Saeid,SSN s are not specific to citizens only!,2021-07-15T14:25:19Z,0,0
Partha De,"Can't connect to local MySQL server through socket '/run/mysqld/mysqld.sock' (2)
on windows pls help",2021-07-15T12:43:45Z,0,3
Mihajlo D,"Try This ""in manage connections, where it says 'SHARE THIS CONNECTION WITH TEAMMATES' change it to 'Yes, except credentials'. 
Also make sure you downloaded the latest SQL server and not the one he did as they are dated now.""",2021-09-03T17:43:32Z,0,
Partha De,@Supernova yes I had forgotten my SQL server password 😂,2021-07-17T10:18:50Z,0,
Supernova,"ive got the same error, did u find any solution?",2021-07-17T10:15:54Z,1,
satpal singh,This is an amazing tutorial for anyone who wants to know the basics of SQL. You are a legend. Explained everything in the best possible way. Keep up the good work. May people are learning through these videos.,2021-07-15T11:25:09Z,9,0
Dabboo Vashist,"Cannot add or update a child row: a foreign key constraint fails (`dabs`.`works_with`, CONSTRAINT `works_with_ibfk_2` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`) ON DELETE CASCADE)
for 4th value in the works_with table what should i do?",2021-07-15T07:03:36Z,0,0
kofi Andoh,You so good,2021-07-15T01:34:14Z,0,0
viper5942,"If anyone is having trouble connecting the database with popsql, and you're getting the unknown database error, it might be because you did the same thing as me. In the video he spelled the name of the database when creating it ""girrafe"" and I just typed the same thing, but when attempting to connect I spelled it ""giraffe"" because I wasn't just copying down what I saw. I didn't see anyone else with this problem so I might just be dumb, but hopefully this helps if you've made the same mistake. Gud luck learning :)",2021-07-14T22:39:31Z,0,1
Petr Patala,"I did the same bro, but figured out eventually. You are not ALONE!!! :D
Also struggled in 2:39:00 with birth_date vs birth_day in real table. But those are small typos, at least we can recheck actuall knowedge :)",2021-07-16T14:31:50Z,0,
Hyun Seok Cho,38:38 Did you just flip me off??!!     lol jk Thanks for this great video. Really helping me learning!,2021-07-14T22:34:17Z,0,0
zeineb amri,"Hello i can't find the pdf of the company database, Mike said that he put the link in the description but i can't find it anywhere. Can anyone help me with that please",2021-07-14T20:44:20Z,0,3
Zeba Shaikh,@zeineb amri You're welcome.,2021-07-16T12:55:25Z,1,
zeineb amri,@Zeba Shaikh ah thank u i found that i thought he put the pdf too.,2021-07-16T11:16:03Z,1,
Zeba Shaikh,"He didn't added a pdf he gave a code for company database. you can find it in the description if you look closely its named as: "" Company Database Code: https://www.giraffeacademy.com/databa...""",2021-07-16T11:10:40Z,1,
Satyam Kumar,Whenever I need to revise I always come here.,2021-07-14T16:24:57Z,0,0
Satyam Kumar,Whenever I need to revise I always come here.,2021-07-14T16:23:25Z,0,0
Satyam Kumar,Whenever I need to revise I always come here.,2021-07-14T16:21:44Z,0,0
